UHF_42,Incident_Address_Borough,Date_Received,asbestos_count
bayside - littleneck,Queens,2010,5
bayside - littleneck,Queens,2011,2
bayside - littleneck,Queens,2012,6
bayside - littleneck,Queens,2013,1
bayside - littleneck,Queens,2014,5
bayside - littleneck,Queens,2015,4
bayside - littleneck,Queens,2016,9
bayside - littleneck,Queens,2017,6
bayside - littleneck,Queens,2018,3
bayside - littleneck,Queens,2019,2
bayside - littleneck,Queens,2020,4
bayside - littleneck,Queens,2021,3
bedford stuyvesant - crown heights,Brooklyn,2010,15
bedford stuyvesant - crown heights,Brooklyn,2011,34
bedford stuyvesant - crown heights,Brooklyn,2012,27
bedford stuyvesant - crown heights,Brooklyn,2013,25
bedford stuyvesant - crown heights,Brooklyn,2014,38
bedford stuyvesant - crown heights,Brooklyn,2015,25
bedford stuyvesant - crown heights,Brooklyn,2016,24
bedford stuyvesant - crown heights,Brooklyn,2017,22
bedford stuyvesant - crown heights,Brooklyn,2018,22
bedford stuyvesant - crown heights,Brooklyn,2019,32
bedford stuyvesant - crown heights,Brooklyn,2020,30
bedford stuyvesant - crown heights,Brooklyn,2021,10
bensonhurst - bay ridge,Brooklyn,2010,7
bensonhurst - bay ridge,Brooklyn,2011,16
bensonhurst - bay ridge,Brooklyn,2012,11
bensonhurst - bay ridge,Brooklyn,2013,9
bensonhurst - bay ridge,Brooklyn,2014,5
bensonhurst - bay ridge,Brooklyn,2015,19
bensonhurst - bay ridge,Brooklyn,2016,11
bensonhurst - bay ridge,Brooklyn,2017,10
bensonhurst - bay ridge,Brooklyn,2018,18
bensonhurst - bay ridge,Brooklyn,2019,6
bensonhurst - bay ridge,Brooklyn,2020,4
bensonhurst - bay ridge,Brooklyn,2021,7
borough park,Brooklyn,2010,5
borough park,Brooklyn,2011,15
borough park,Brooklyn,2012,13
borough park,Brooklyn,2013,14
borough park,Brooklyn,2014,17
borough park,Brooklyn,2015,19
borough park,Brooklyn,2016,14
borough park,Brooklyn,2017,13
borough park,Brooklyn,2018,10
borough park,Brooklyn,2019,13
borough park,Brooklyn,2020,16
borough park,Brooklyn,2021,5
canarsie - flatlands,Brooklyn,2011,7
canarsie - flatlands,Brooklyn,2012,8
canarsie - flatlands,Brooklyn,2013,6
canarsie - flatlands,Brooklyn,2014,5
canarsie - flatlands,Brooklyn,2015,6
canarsie - flatlands,Brooklyn,2016,3
canarsie - flatlands,Brooklyn,2017,4
canarsie - flatlands,Brooklyn,2018,9
canarsie - flatlands,Brooklyn,2019,11
canarsie - flatlands,Brooklyn,2020,8
central harlem - morningside heights,Manhattan,2010,5
central harlem - morningside heights,Manhattan,2011,25
central harlem - morningside heights,Manhattan,2012,9
central harlem - morningside heights,Manhattan,2013,16
central harlem - morningside heights,Manhattan,2014,17
central harlem - morningside heights,Manhattan,2015,17
central harlem - morningside heights,Manhattan,2016,15
central harlem - morningside heights,Manhattan,2017,14
central harlem - morningside heights,Manhattan,2018,17
central harlem - morningside heights,Manhattan,2019,20
central harlem - morningside heights,Manhattan,2020,9
central harlem - morningside heights,Manhattan,2021,7
chelsea - clinton,Manhattan,2010,13
chelsea - clinton,Manhattan,2011,27
chelsea - clinton,Manhattan,2012,20
chelsea - clinton,Manhattan,2013,13
chelsea - clinton,Manhattan,2014,16
chelsea - clinton,Manhattan,2015,15
chelsea - clinton,Manhattan,2016,12
chelsea - clinton,Manhattan,2017,5
chelsea - clinton,Manhattan,2018,15
chelsea - clinton,Manhattan,2019,25
chelsea - clinton,Manhattan,2020,17
chelsea - clinton,Manhattan,2021,5
coney island - sheepshead bay,Brooklyn,2010,9
coney island - sheepshead bay,Brooklyn,2011,16
coney island - sheepshead bay,Brooklyn,2012,31
coney island - sheepshead bay,Brooklyn,2013,24
coney island - sheepshead bay,Brooklyn,2014,10
coney island - sheepshead bay,Brooklyn,2015,14
coney island - sheepshead bay,Brooklyn,2016,8
coney island - sheepshead bay,Brooklyn,2017,6
coney island - sheepshead bay,Brooklyn,2018,14
coney island - sheepshead bay,Brooklyn,2019,18
coney island - sheepshead bay,Brooklyn,2020,15
coney island - sheepshead bay,Brooklyn,2021,5
crotona -tremont,Bronx,2010,12
crotona -tremont,Bronx,2011,21
crotona -tremont,Bronx,2012,13
crotona -tremont,Bronx,2013,11
crotona -tremont,Bronx,2014,15
crotona -tremont,Bronx,2015,8
crotona -tremont,Bronx,2016,14
crotona -tremont,Bronx,2017,13
crotona -tremont,Bronx,2018,15
crotona -tremont,Bronx,2019,10
crotona -tremont,Bronx,2020,16
crotona -tremont,Bronx,2021,5
downtown - heights - slope,Bronx,2021,1
downtown - heights - slope,Brooklyn,2010,10
downtown - heights - slope,Brooklyn,2011,14
downtown - heights - slope,Brooklyn,2012,21
downtown - heights - slope,Brooklyn,2013,15
downtown - heights - slope,Brooklyn,2014,11
downtown - heights - slope,Brooklyn,2015,7
downtown - heights - slope,Brooklyn,2016,14
downtown - heights - slope,Brooklyn,2017,18
downtown - heights - slope,Brooklyn,2018,11
downtown - heights - slope,Brooklyn,2019,12
downtown - heights - slope,Brooklyn,2020,13
downtown - heights - slope,Brooklyn,2021,12
east flatbush - flatbush,Brooklyn,2010,10
east flatbush - flatbush,Brooklyn,2011,22
east flatbush - flatbush,Brooklyn,2012,19
east flatbush - flatbush,Brooklyn,2013,12
east flatbush - flatbush,Brooklyn,2014,35
east flatbush - flatbush,Brooklyn,2015,21
east flatbush - flatbush,Brooklyn,2016,35
east flatbush - flatbush,Brooklyn,2017,24
east flatbush - flatbush,Brooklyn,2018,35
east flatbush - flatbush,Brooklyn,2019,28
east flatbush - flatbush,Brooklyn,2020,15
east flatbush - flatbush,Brooklyn,2021,5
east harlem,Manhattan,2010,1
east harlem,Manhattan,2011,7
east harlem,Manhattan,2012,8
east harlem,Manhattan,2013,6
east harlem,Manhattan,2014,2
east harlem,Manhattan,2015,3
east harlem,Manhattan,2016,5
east harlem,Manhattan,2017,5
east harlem,Manhattan,2018,7
east harlem,Manhattan,2019,8
east harlem,Manhattan,2020,6
east harlem,Manhattan,2021,3
east new york,Brooklyn,2010,6
east new york,Brooklyn,2011,13
east new york,Brooklyn,2012,9
east new york,Brooklyn,2013,9
east new york,Brooklyn,2014,10
east new york,Brooklyn,2015,8
east new york,Brooklyn,2016,7
east new york,Brooklyn,2017,15
east new york,Brooklyn,2018,16
east new york,Brooklyn,2019,11
east new york,Brooklyn,2020,10
east new york,Brooklyn,2021,3
flushing - clearview,Queens,2010,4
flushing - clearview,Queens,2011,15
flushing - clearview,Queens,2012,8
flushing - clearview,Queens,2013,9
flushing - clearview,Queens,2014,5
flushing - clearview,Queens,2015,9
flushing - clearview,Queens,2016,3
flushing - clearview,Queens,2017,5
flushing - clearview,Queens,2018,6
flushing - clearview,Queens,2019,8
flushing - clearview,Queens,2020,9
flushing - clearview,Queens,2021,1
fordham - bronx pk,Bronx,2010,9
fordham - bronx pk,Bronx,2011,18
fordham - bronx pk,Bronx,2012,26
fordham - bronx pk,Bronx,2013,18
fordham - bronx pk,Bronx,2014,25
fordham - bronx pk,Bronx,2015,27
fordham - bronx pk,Bronx,2016,26
fordham - bronx pk,Bronx,2017,18
fordham - bronx pk,Bronx,2018,25
fordham - bronx pk,Bronx,2019,14
fordham - bronx pk,Bronx,2020,17
fordham - bronx pk,Bronx,2021,3
fresh meadows,Queens,2010,1
fresh meadows,Queens,2011,7
fresh meadows,Queens,2013,4
fresh meadows,Queens,2014,3
fresh meadows,Queens,2015,4
fresh meadows,Queens,2016,5
fresh meadows,Queens,2017,4
fresh meadows,Queens,2018,5
fresh meadows,Queens,2019,3
fresh meadows,Queens,2020,4
fresh meadows,Queens,2021,4
gramercy park - murray hill,Manhattan,2010,3
gramercy park - murray hill,Manhattan,2011,13
gramercy park - murray hill,Manhattan,2012,17
gramercy park - murray hill,Manhattan,2013,11
gramercy park - murray hill,Manhattan,2014,15
gramercy park - murray hill,Manhattan,2015,13
gramercy park - murray hill,Manhattan,2016,12
gramercy park - murray hill,Manhattan,2017,22
gramercy park - murray hill,Manhattan,2018,21
gramercy park - murray hill,Manhattan,2019,11
gramercy park - murray hill,Manhattan,2020,13
gramercy park - murray hill,Manhattan,2021,9
greenpoint,Brooklyn,2010,3
greenpoint,Brooklyn,2011,8
greenpoint,Brooklyn,2012,4
greenpoint,Brooklyn,2013,6
greenpoint,Brooklyn,2014,3
greenpoint,Brooklyn,2015,8
greenpoint,Brooklyn,2016,4
greenpoint,Brooklyn,2017,7
greenpoint,Brooklyn,2018,9
greenpoint,Brooklyn,2019,10
greenpoint,Brooklyn,2020,2
greenpoint,Brooklyn,2021,5
greenwich village - soho,Manhattan,2010,1
greenwich village - soho,Manhattan,2011,14
greenwich village - soho,Manhattan,2012,9
greenwich village - soho,Manhattan,2013,5
greenwich village - soho,Manhattan,2014,7
greenwich village - soho,Manhattan,2015,7
greenwich village - soho,Manhattan,2016,4
greenwich village - soho,Manhattan,2017,4
greenwich village - soho,Manhattan,2018,15
greenwich village - soho,Manhattan,2019,15
greenwich village - soho,Manhattan,2020,14
greenwich village - soho,Manhattan,2021,4
high bridge - morrisania,Bronx,2010,2
high bridge - morrisania,Bronx,2011,10
high bridge - morrisania,Bronx,2012,7
high bridge - morrisania,Bronx,2013,11
high bridge - morrisania,Bronx,2014,24
high bridge - morrisania,Bronx,2015,18
high bridge - morrisania,Bronx,2016,10
high bridge - morrisania,Bronx,2017,12
high bridge - morrisania,Bronx,2018,10
high bridge - morrisania,Bronx,2019,13
high bridge - morrisania,Bronx,2020,9
high bridge - morrisania,Bronx,2021,7
hunts point - mott haven,Bronx,2010,6
hunts point - mott haven,Bronx,2011,11
hunts point - mott haven,Bronx,2012,7
hunts point - mott haven,Bronx,2013,5
hunts point - mott haven,Bronx,2014,8
hunts point - mott haven,Bronx,2015,10
hunts point - mott haven,Bronx,2016,7
hunts point - mott haven,Bronx,2017,7
hunts point - mott haven,Bronx,2018,10
hunts point - mott haven,Bronx,2019,12
hunts point - mott haven,Bronx,2020,6
hunts point - mott haven,Bronx,2021,3
jamaica,Queens,2010,7
jamaica,Queens,2011,12
jamaica,Queens,2012,13
jamaica,Queens,2013,18
jamaica,Queens,2014,13
jamaica,Queens,2015,8
jamaica,Queens,2016,11
jamaica,Queens,2017,12
jamaica,Queens,2018,9
jamaica,Queens,2019,26
jamaica,Queens,2020,8
jamaica,Queens,2021,7
kingsbridge - riverdale,Bronx,2010,3
kingsbridge - riverdale,Bronx,2011,9
kingsbridge - riverdale,Bronx,2012,4
kingsbridge - riverdale,Bronx,2013,11
kingsbridge - riverdale,Bronx,2014,3
kingsbridge - riverdale,Bronx,2015,8
kingsbridge - riverdale,Bronx,2016,3
kingsbridge - riverdale,Bronx,2017,6
kingsbridge - riverdale,Bronx,2018,12
kingsbridge - riverdale,Bronx,2019,11
kingsbridge - riverdale,Bronx,2020,6
kingsbridge - riverdale,Bronx,2021,4
long island city - astoria,Queens,2010,4
long island city - astoria,Queens,2011,10
long island city - astoria,Queens,2012,12
long island city - astoria,Queens,2013,9
long island city - astoria,Queens,2014,11
long island city - astoria,Queens,2015,12
long island city - astoria,Queens,2016,15
long island city - astoria,Queens,2017,10
long island city - astoria,Queens,2018,18
long island city - astoria,Queens,2019,13
long island city - astoria,Queens,2020,10
long island city - astoria,Queens,2021,8
lower east side,Manhattan,2010,3
lower east side,Manhattan,2011,3
lower east side,Manhattan,2012,2
lower east side,Manhattan,2013,3
lower east side,Manhattan,2014,5
lower east side,Manhattan,2015,13
lower east side,Manhattan,2016,4
lower east side,Manhattan,2017,8
lower east side,Manhattan,2018,7
lower east side,Manhattan,2019,2
lower east side,Manhattan,2020,6
lower east side,Manhattan,2021,1
lower manhattan,Manhattan,2011,6
lower manhattan,Manhattan,2012,4
lower manhattan,Manhattan,2013,2
lower manhattan,Manhattan,2014,3
lower manhattan,Manhattan,2015,4
lower manhattan,Manhattan,2016,2
lower manhattan,Manhattan,2017,3
lower manhattan,Manhattan,2018,5
lower manhattan,Manhattan,2019,10
lower manhattan,Manhattan,2020,4
lower manhattan,Manhattan,2021,1
northeast bronx,Bronx,2010,5
northeast bronx,Bronx,2011,7
northeast bronx,Bronx,2012,9
northeast bronx,Bronx,2013,13
northeast bronx,Bronx,2014,14
northeast bronx,Bronx,2015,12
northeast bronx,Bronx,2016,10
northeast bronx,Bronx,2017,4
northeast bronx,Bronx,2018,11
northeast bronx,Bronx,2019,10
northeast bronx,Bronx,2020,9
northeast bronx,Bronx,2021,2
pelham - throgs neck,Bronx,2010,11
pelham - throgs neck,Bronx,2011,23
pelham - throgs neck,Bronx,2012,8
pelham - throgs neck,Bronx,2013,26
pelham - throgs neck,Bronx,2014,23
pelham - throgs neck,Bronx,2015,28
pelham - throgs neck,Bronx,2016,27
pelham - throgs neck,Bronx,2017,25
pelham - throgs neck,Bronx,2018,14
pelham - throgs neck,Bronx,2019,29
pelham - throgs neck,Bronx,2020,15
pelham - throgs neck,Bronx,2021,24
port richmond,Staten Island,2010,1
port richmond,Staten Island,2011,5
port richmond,Staten Island,2012,1
port richmond,Staten Island,2013,2
port richmond,Staten Island,2014,3
port richmond,Staten Island,2015,2
port richmond,Staten Island,2016,3
port richmond,Staten Island,2017,1
port richmond,Staten Island,2018,1
port richmond,Staten Island,2019,2
port richmond,Staten Island,2021,4
ridgewood -forest hills,Queens,2010,7
ridgewood -forest hills,Queens,2011,10
ridgewood -forest hills,Queens,2012,16
ridgewood -forest hills,Queens,2013,15
ridgewood -forest hills,Queens,2014,16
ridgewood -forest hills,Queens,2015,16
ridgewood -forest hills,Queens,2016,17
ridgewood -forest hills,Queens,2017,9
ridgewood -forest hills,Queens,2018,14
ridgewood -forest hills,Queens,2019,18
ridgewood -forest hills,Queens,2020,4
ridgewood -forest hills,Queens,2021,8
rockaway,Queens,2010,1
rockaway,Queens,2011,10
rockaway,Queens,2012,15
rockaway,Queens,2013,11
rockaway,Queens,2014,3
rockaway,Queens,2015,6
rockaway,Queens,2016,12
rockaway,Queens,2017,15
rockaway,Queens,2018,9
rockaway,Queens,2019,15
rockaway,Queens,2020,5
rockaway,Queens,2021,9
south beach - tottenville,Staten Island,2010,8
south beach - tottenville,Staten Island,2011,4
south beach - tottenville,Staten Island,2012,5
south beach - tottenville,Staten Island,2013,9
south beach - tottenville,Staten Island,2014,5
south beach - tottenville,Staten Island,2015,6
south beach - tottenville,Staten Island,2016,6
south beach - tottenville,Staten Island,2017,4
south beach - tottenville,Staten Island,2018,1
south beach - tottenville,Staten Island,2019,5
south beach - tottenville,Staten Island,2020,3
southeast queens,Queens,2010,4
southeast queens,Queens,2011,4
southeast queens,Queens,2012,4
southeast queens,Queens,2013,3
southeast queens,Queens,2014,3
southeast queens,Queens,2015,8
southeast queens,Queens,2016,5
southeast queens,Queens,2017,3
southeast queens,Queens,2018,10
southeast queens,Queens,2019,4
southeast queens,Queens,2020,4
southeast queens,Queens,2021,3
southwest queens,Queens,2010,9
southwest queens,Queens,2011,18
southwest queens,Queens,2012,15
southwest queens,Queens,2013,8
southwest queens,Queens,2014,12
southwest queens,Queens,2015,17
southwest queens,Queens,2016,14
southwest queens,Queens,2017,13
southwest queens,Queens,2018,7
southwest queens,Queens,2019,13
southwest queens,Queens,2020,9
southwest queens,Queens,2021,4
stapleton - st. george,Staten Island,2010,4
stapleton - st. george,Staten Island,2011,9
stapleton - st. george,Staten Island,2012,6
stapleton - st. george,Staten Island,2013,6
stapleton - st. george,Staten Island,2014,7
stapleton - st. george,Staten Island,2015,8
stapleton - st. george,Staten Island,2016,11
stapleton - st. george,Staten Island,2017,15
stapleton - st. george,Staten Island,2018,9
stapleton - st. george,Staten Island,2019,12
stapleton - st. george,Staten Island,2020,8
stapleton - st. george,Staten Island,2021,1
sunset park,Brooklyn,2010,3
sunset park,Brooklyn,2011,5
sunset park,Brooklyn,2012,8
sunset park,Brooklyn,2013,2
sunset park,Brooklyn,2014,13
sunset park,Brooklyn,2015,6
sunset park,Brooklyn,2016,5
sunset park,Brooklyn,2017,4
sunset park,Brooklyn,2018,5
sunset park,Brooklyn,2019,4
sunset park,Brooklyn,2021,1
union square - lower east side,Manhattan,2010,3
union square - lower east side,Manhattan,2011,12
union square - lower east side,Manhattan,2012,7
union square - lower east side,Manhattan,2013,9
union square - lower east side,Manhattan,2014,6
union square - lower east side,Manhattan,2015,8
union square - lower east side,Manhattan,2016,9
union square - lower east side,Manhattan,2017,12
union square - lower east side,Manhattan,2018,16
union square - lower east side,Manhattan,2019,13
union square - lower east side,Manhattan,2020,7
union square - lower east side,Manhattan,2021,7
upper east side,Manhattan,2010,3
upper east side,Manhattan,2011,12
upper east side,Manhattan,2012,12
upper east side,Manhattan,2013,3
upper east side,Manhattan,2014,4
upper east side,Manhattan,2015,13
upper east side,Manhattan,2016,10
upper east side,Manhattan,2017,4
upper east side,Manhattan,2018,16
upper east side,Manhattan,2019,15
upper east side,Manhattan,2020,15
upper east side,Manhattan,2021,2
upper west side,Manhattan,2010,10
upper west side,Manhattan,2011,33
upper west side,Manhattan,2012,15
upper west side,Manhattan,2013,27
upper west side,Manhattan,2014,26
upper west side,Manhattan,2015,22
upper west side,Manhattan,2016,27
upper west side,Manhattan,2017,14
upper west side,Manhattan,2018,29
upper west side,Manhattan,2019,22
upper west side,Manhattan,2020,11
upper west side,Manhattan,2021,6
washington heights,Manhattan,2010,11
washington heights,Manhattan,2011,25
washington heights,Manhattan,2012,19
washington heights,Manhattan,2013,23
washington heights,Manhattan,2014,17
washington heights,Manhattan,2015,24
washington heights,Manhattan,2016,24
washington heights,Manhattan,2017,15
washington heights,Manhattan,2018,25
washington heights,Manhattan,2019,28
washington heights,Manhattan,2020,16
washington heights,Manhattan,2021,12
west queens,Queens,2010,10
west queens,Queens,2011,19
west queens,Queens,2012,22
west queens,Queens,2013,17
west queens,Queens,2014,17
west queens,Queens,2015,15
west queens,Queens,2016,18
west queens,Queens,2017,24
west queens,Queens,2018,22
west queens,Queens,2019,12
west queens,Queens,2020,12
west queens,Queens,2021,9
williamsburg - bushwick,Brooklyn,2010,9
williamsburg - bushwick,Brooklyn,2011,17
williamsburg - bushwick,Brooklyn,2012,13
williamsburg - bushwick,Brooklyn,2013,8
williamsburg - bushwick,Brooklyn,2014,8
williamsburg - bushwick,Brooklyn,2015,13
williamsburg - bushwick,Brooklyn,2016,13
williamsburg - bushwick,Brooklyn,2017,8
williamsburg - bushwick,Brooklyn,2018,18
williamsburg - bushwick,Brooklyn,2019,15
williamsburg - bushwick,Brooklyn,2020,8
williamsburg - bushwick,Brooklyn,2021,8
willowbrook,Staten Island,2010,1
willowbrook,Staten Island,2011,1
willowbrook,Staten Island,2012,6
willowbrook,Staten Island,2014,2
willowbrook,Staten Island,2015,1
willowbrook,Staten Island,2016,1
willowbrook,Staten Island,2018,2
willowbrook,Staten Island,2019,4
willowbrook,Staten Island,2020,4
willowbrook,Staten Island,2021,1
