UHF_42,Incident_Address_Borough,Date_Received,dust_count
bayside - littleneck,Queens,2014,4
bayside - littleneck,Queens,2015,1
bayside - littleneck,Queens,2016,1
bayside - littleneck,Queens,2017,1
bayside - littleneck,Queens,2018,1
bayside - littleneck,Queens,2019,1
bayside - littleneck,Queens,2021,2
bedford stuyvesant - crown heights,Brooklyn,2010,7
bedford stuyvesant - crown heights,Brooklyn,2011,19
bedford stuyvesant - crown heights,Brooklyn,2012,35
bedford stuyvesant - crown heights,Brooklyn,2013,42
bedford stuyvesant - crown heights,Brooklyn,2014,57
bedford stuyvesant - crown heights,Brooklyn,2015,67
bedford stuyvesant - crown heights,Brooklyn,2016,43
bedford stuyvesant - crown heights,Brooklyn,2017,43
bedford stuyvesant - crown heights,Brooklyn,2018,29
bedford stuyvesant - crown heights,Brooklyn,2019,28
bedford stuyvesant - crown heights,Brooklyn,2020,36
bedford stuyvesant - crown heights,Brooklyn,2021,14
bensonhurst - bay ridge,Brooklyn,2010,4
bensonhurst - bay ridge,Brooklyn,2011,4
bensonhurst - bay ridge,Brooklyn,2012,6
bensonhurst - bay ridge,Brooklyn,2013,3
bensonhurst - bay ridge,Brooklyn,2014,5
bensonhurst - bay ridge,Brooklyn,2015,12
bensonhurst - bay ridge,Brooklyn,2016,5
bensonhurst - bay ridge,Brooklyn,2017,6
bensonhurst - bay ridge,Brooklyn,2018,6
bensonhurst - bay ridge,Brooklyn,2019,5
bensonhurst - bay ridge,Brooklyn,2020,2
bensonhurst - bay ridge,Brooklyn,2021,1
borough park,Brooklyn,2010,5
borough park,Brooklyn,2011,11
borough park,Brooklyn,2012,4
borough park,Brooklyn,2013,11
borough park,Brooklyn,2014,7
borough park,Brooklyn,2015,17
borough park,Brooklyn,2016,9
borough park,Brooklyn,2017,5
borough park,Brooklyn,2018,8
borough park,Brooklyn,2019,13
borough park,Brooklyn,2020,9
borough park,Brooklyn,2021,4
canarsie - flatlands,Brooklyn,2010,1
canarsie - flatlands,Brooklyn,2011,1
canarsie - flatlands,Brooklyn,2012,2
canarsie - flatlands,Brooklyn,2013,2
canarsie - flatlands,Brooklyn,2014,2
canarsie - flatlands,Brooklyn,2015,1
canarsie - flatlands,Brooklyn,2016,5
canarsie - flatlands,Brooklyn,2017,3
canarsie - flatlands,Brooklyn,2018,9
canarsie - flatlands,Brooklyn,2019,4
canarsie - flatlands,Brooklyn,2020,6
canarsie - flatlands,Brooklyn,2021,3
central harlem - morningside heights,Manhattan,2010,16
central harlem - morningside heights,Manhattan,2011,17
central harlem - morningside heights,Manhattan,2012,49
central harlem - morningside heights,Manhattan,2013,15
central harlem - morningside heights,Manhattan,2014,13
central harlem - morningside heights,Manhattan,2015,27
central harlem - morningside heights,Manhattan,2016,44
central harlem - morningside heights,Manhattan,2017,28
central harlem - morningside heights,Manhattan,2018,20
central harlem - morningside heights,Manhattan,2019,30
central harlem - morningside heights,Manhattan,2020,24
central harlem - morningside heights,Manhattan,2021,9
chelsea - clinton,Manhattan,2010,22
chelsea - clinton,Manhattan,2011,62
chelsea - clinton,Manhattan,2012,62
chelsea - clinton,Manhattan,2013,70
chelsea - clinton,Manhattan,2014,66
chelsea - clinton,Manhattan,2015,81
chelsea - clinton,Manhattan,2016,66
chelsea - clinton,Manhattan,2017,48
chelsea - clinton,Manhattan,2018,63
chelsea - clinton,Manhattan,2019,53
chelsea - clinton,Manhattan,2020,55
chelsea - clinton,Manhattan,2021,15
coney island - sheepshead bay,Brooklyn,2010,11
coney island - sheepshead bay,Brooklyn,2011,14
coney island - sheepshead bay,Brooklyn,2012,12
coney island - sheepshead bay,Brooklyn,2013,7
coney island - sheepshead bay,Brooklyn,2014,6
coney island - sheepshead bay,Brooklyn,2015,6
coney island - sheepshead bay,Brooklyn,2016,15
coney island - sheepshead bay,Brooklyn,2017,5
coney island - sheepshead bay,Brooklyn,2018,12
coney island - sheepshead bay,Brooklyn,2019,17
coney island - sheepshead bay,Brooklyn,2020,8
coney island - sheepshead bay,Brooklyn,2021,4
crotona -tremont,Bronx,2010,5
crotona -tremont,Bronx,2011,7
crotona -tremont,Bronx,2012,2
crotona -tremont,Bronx,2013,8
crotona -tremont,Bronx,2014,12
crotona -tremont,Bronx,2015,5
crotona -tremont,Bronx,2016,4
crotona -tremont,Bronx,2017,7
crotona -tremont,Bronx,2018,3
crotona -tremont,Bronx,2019,11
crotona -tremont,Bronx,2020,4
crotona -tremont,Bronx,2021,4
downtown - heights - slope,Brooklyn,2010,9
downtown - heights - slope,Brooklyn,2011,21
downtown - heights - slope,Brooklyn,2012,29
downtown - heights - slope,Brooklyn,2013,35
downtown - heights - slope,Brooklyn,2014,57
downtown - heights - slope,Brooklyn,2015,50
downtown - heights - slope,Brooklyn,2016,32
downtown - heights - slope,Brooklyn,2017,24
downtown - heights - slope,Brooklyn,2018,39
downtown - heights - slope,Brooklyn,2019,33
downtown - heights - slope,Brooklyn,2020,34
downtown - heights - slope,Brooklyn,2021,12
east flatbush - flatbush,Brooklyn,2010,5
east flatbush - flatbush,Brooklyn,2011,14
east flatbush - flatbush,Brooklyn,2012,6
east flatbush - flatbush,Brooklyn,2013,8
east flatbush - flatbush,Brooklyn,2014,23
east flatbush - flatbush,Brooklyn,2015,25
east flatbush - flatbush,Brooklyn,2016,31
east flatbush - flatbush,Brooklyn,2017,18
east flatbush - flatbush,Brooklyn,2018,21
east flatbush - flatbush,Brooklyn,2019,16
east flatbush - flatbush,Brooklyn,2020,17
east flatbush - flatbush,Brooklyn,2021,3
east harlem,Manhattan,2010,15
east harlem,Manhattan,2011,2
east harlem,Manhattan,2012,9
east harlem,Manhattan,2013,4
east harlem,Manhattan,2014,7
east harlem,Manhattan,2015,12
east harlem,Manhattan,2016,5
east harlem,Manhattan,2017,19
east harlem,Manhattan,2018,8
east harlem,Manhattan,2019,14
east harlem,Manhattan,2020,4
east harlem,Manhattan,2021,4
east new york,Brooklyn,2010,4
east new york,Brooklyn,2011,5
east new york,Brooklyn,2012,1
east new york,Brooklyn,2013,5
east new york,Brooklyn,2014,5
east new york,Brooklyn,2015,6
east new york,Brooklyn,2016,5
east new york,Brooklyn,2017,7
east new york,Brooklyn,2018,11
east new york,Brooklyn,2019,8
east new york,Brooklyn,2020,7
flushing - clearview,Queens,2010,3
flushing - clearview,Queens,2011,6
flushing - clearview,Queens,2012,3
flushing - clearview,Queens,2013,5
flushing - clearview,Queens,2014,6
flushing - clearview,Queens,2015,6
flushing - clearview,Queens,2016,6
flushing - clearview,Queens,2017,7
flushing - clearview,Queens,2018,7
flushing - clearview,Queens,2019,5
flushing - clearview,Queens,2020,8
flushing - clearview,Queens,2021,1
fordham - bronx pk,Bronx,2011,8
fordham - bronx pk,Bronx,2012,7
fordham - bronx pk,Bronx,2013,8
fordham - bronx pk,Bronx,2014,15
fordham - bronx pk,Bronx,2015,9
fordham - bronx pk,Bronx,2016,6
fordham - bronx pk,Bronx,2017,5
fordham - bronx pk,Bronx,2018,8
fordham - bronx pk,Bronx,2019,11
fordham - bronx pk,Bronx,2020,12
fordham - bronx pk,Bronx,2021,2
fresh meadows,Queens,2010,2
fresh meadows,Queens,2012,1
fresh meadows,Queens,2013,1
fresh meadows,Queens,2014,3
fresh meadows,Queens,2017,1
fresh meadows,Queens,2018,1
fresh meadows,Queens,2019,1
fresh meadows,Queens,2020,1
gramercy park - murray hill,Manhattan,2010,18
gramercy park - murray hill,Manhattan,2011,33
gramercy park - murray hill,Manhattan,2012,38
gramercy park - murray hill,Manhattan,2013,32
gramercy park - murray hill,Manhattan,2014,44
gramercy park - murray hill,Manhattan,2015,34
gramercy park - murray hill,Manhattan,2016,40
gramercy park - murray hill,Manhattan,2017,47
gramercy park - murray hill,Manhattan,2018,41
gramercy park - murray hill,Manhattan,2019,30
gramercy park - murray hill,Manhattan,2020,46
gramercy park - murray hill,Manhattan,2021,7
greenpoint,Brooklyn,2010,4
greenpoint,Brooklyn,2011,5
greenpoint,Brooklyn,2012,15
greenpoint,Brooklyn,2013,17
greenpoint,Brooklyn,2014,28
greenpoint,Brooklyn,2015,24
greenpoint,Brooklyn,2016,20
greenpoint,Brooklyn,2017,10
greenpoint,Brooklyn,2018,31
greenpoint,Brooklyn,2019,21
greenpoint,Brooklyn,2020,14
greenpoint,Brooklyn,2021,7
greenwich village - soho,Manhattan,2010,17
greenwich village - soho,Manhattan,2011,37
greenwich village - soho,Manhattan,2012,37
greenwich village - soho,Manhattan,2013,35
greenwich village - soho,Manhattan,2014,45
greenwich village - soho,Manhattan,2015,30
greenwich village - soho,Manhattan,2016,44
greenwich village - soho,Manhattan,2017,45
greenwich village - soho,Manhattan,2018,28
greenwich village - soho,Manhattan,2019,46
greenwich village - soho,Manhattan,2020,19
greenwich village - soho,Manhattan,2021,10
high bridge - morrisania,Bronx,2010,3
high bridge - morrisania,Bronx,2011,7
high bridge - morrisania,Bronx,2012,9
high bridge - morrisania,Bronx,2013,9
high bridge - morrisania,Bronx,2014,5
high bridge - morrisania,Bronx,2015,8
high bridge - morrisania,Bronx,2016,12
high bridge - morrisania,Bronx,2017,7
high bridge - morrisania,Bronx,2018,4
high bridge - morrisania,Bronx,2019,5
high bridge - morrisania,Bronx,2020,6
high bridge - morrisania,Bronx,2021,2
hunts point - mott haven,Bronx,2010,1
hunts point - mott haven,Bronx,2011,1
hunts point - mott haven,Bronx,2012,2
hunts point - mott haven,Bronx,2013,4
hunts point - mott haven,Bronx,2014,7
hunts point - mott haven,Bronx,2015,6
hunts point - mott haven,Bronx,2016,3
hunts point - mott haven,Bronx,2017,6
hunts point - mott haven,Bronx,2018,6
hunts point - mott haven,Bronx,2019,4
hunts point - mott haven,Bronx,2020,5
jamaica,Queens,2010,2
jamaica,Queens,2011,1
jamaica,Queens,2012,1
jamaica,Queens,2013,2
jamaica,Queens,2014,3
jamaica,Queens,2015,11
jamaica,Queens,2016,6
jamaica,Queens,2017,7
jamaica,Queens,2018,3
jamaica,Queens,2019,4
jamaica,Queens,2020,4
jamaica,Queens,2021,2
kingsbridge - riverdale,Bronx,2011,2
kingsbridge - riverdale,Bronx,2012,1
kingsbridge - riverdale,Bronx,2014,4
kingsbridge - riverdale,Bronx,2015,3
kingsbridge - riverdale,Bronx,2016,4
kingsbridge - riverdale,Bronx,2017,9
kingsbridge - riverdale,Bronx,2018,5
kingsbridge - riverdale,Bronx,2019,3
kingsbridge - riverdale,Bronx,2020,1
kingsbridge - riverdale,Bronx,2021,2
long island city - astoria,Queens,2010,6
long island city - astoria,Queens,2011,9
long island city - astoria,Queens,2012,8
long island city - astoria,Queens,2013,8
long island city - astoria,Queens,2014,15
long island city - astoria,Queens,2015,12
long island city - astoria,Queens,2016,19
long island city - astoria,Queens,2017,9
long island city - astoria,Queens,2018,13
long island city - astoria,Queens,2019,12
long island city - astoria,Queens,2020,16
long island city - astoria,Queens,2021,5
lower east side,Manhattan,2010,6
lower east side,Manhattan,2011,10
lower east side,Manhattan,2012,16
lower east side,Manhattan,2013,8
lower east side,Manhattan,2014,12
lower east side,Manhattan,2015,25
lower east side,Manhattan,2016,60
lower east side,Manhattan,2017,14
lower east side,Manhattan,2018,12
lower east side,Manhattan,2019,7
lower east side,Manhattan,2020,8
lower east side,Manhattan,2021,1
lower manhattan,Manhattan,2010,1
lower manhattan,Manhattan,2011,2
lower manhattan,Manhattan,2012,3
lower manhattan,Manhattan,2013,11
lower manhattan,Manhattan,2014,14
lower manhattan,Manhattan,2015,8
lower manhattan,Manhattan,2016,8
lower manhattan,Manhattan,2017,9
lower manhattan,Manhattan,2018,14
lower manhattan,Manhattan,2019,6
lower manhattan,Manhattan,2020,2
lower manhattan,Manhattan,2021,2
northeast bronx,Bronx,2011,4
northeast bronx,Bronx,2012,2
northeast bronx,Bronx,2013,1
northeast bronx,Bronx,2014,2
northeast bronx,Bronx,2015,6
northeast bronx,Bronx,2016,2
northeast bronx,Bronx,2017,4
northeast bronx,Bronx,2018,3
northeast bronx,Bronx,2019,4
northeast bronx,Bronx,2021,4
pelham - throgs neck,Bronx,2010,4
pelham - throgs neck,Bronx,2011,8
pelham - throgs neck,Bronx,2012,4
pelham - throgs neck,Bronx,2013,8
pelham - throgs neck,Bronx,2014,10
pelham - throgs neck,Bronx,2015,12
pelham - throgs neck,Bronx,2016,11
pelham - throgs neck,Bronx,2017,12
pelham - throgs neck,Bronx,2018,13
pelham - throgs neck,Bronx,2019,10
pelham - throgs neck,Bronx,2020,9
pelham - throgs neck,Bronx,2021,2
port richmond,Staten Island,2013,2
port richmond,Staten Island,2014,2
port richmond,Staten Island,2015,1
port richmond,Staten Island,2017,1
port richmond,Staten Island,2018,1
port richmond,Staten Island,2019,2
ridgewood -forest hills,Queens,2010,7
ridgewood -forest hills,Queens,2011,9
ridgewood -forest hills,Queens,2012,16
ridgewood -forest hills,Queens,2013,3
ridgewood -forest hills,Queens,2014,15
ridgewood -forest hills,Queens,2015,9
ridgewood -forest hills,Queens,2016,6
ridgewood -forest hills,Queens,2017,16
ridgewood -forest hills,Queens,2018,8
ridgewood -forest hills,Queens,2019,15
ridgewood -forest hills,Queens,2020,11
ridgewood -forest hills,Queens,2021,2
rockaway,Queens,2010,2
rockaway,Queens,2011,2
rockaway,Queens,2012,7
rockaway,Queens,2013,7
rockaway,Queens,2014,1
rockaway,Queens,2015,4
rockaway,Queens,2016,7
rockaway,Queens,2017,3
rockaway,Queens,2018,4
rockaway,Queens,2019,6
rockaway,Queens,2020,4
rockaway,Queens,2021,4
south beach - tottenville,Staten Island,2010,1
south beach - tottenville,Staten Island,2012,1
south beach - tottenville,Staten Island,2013,1
south beach - tottenville,Staten Island,2016,1
south beach - tottenville,Staten Island,2017,1
south beach - tottenville,Staten Island,2019,1
south beach - tottenville,Staten Island,2020,1
southeast queens,Queens,2011,1
southeast queens,Queens,2013,1
southeast queens,Queens,2014,3
southeast queens,Queens,2020,5
southwest queens,Queens,2010,4
southwest queens,Queens,2011,2
southwest queens,Queens,2012,5
southwest queens,Queens,2013,8
southwest queens,Queens,2014,3
southwest queens,Queens,2015,7
southwest queens,Queens,2016,7
southwest queens,Queens,2017,3
southwest queens,Queens,2018,4
southwest queens,Queens,2019,2
southwest queens,Queens,2020,6
southwest queens,Queens,2021,3
stapleton - st. george,Staten Island,2010,1
stapleton - st. george,Staten Island,2011,2
stapleton - st. george,Staten Island,2012,2
stapleton - st. george,Staten Island,2013,1
stapleton - st. george,Staten Island,2014,4
stapleton - st. george,Staten Island,2015,2
stapleton - st. george,Staten Island,2016,3
stapleton - st. george,Staten Island,2017,3
stapleton - st. george,Staten Island,2018,2
stapleton - st. george,Staten Island,2019,2
stapleton - st. george,Staten Island,2020,1
sunset park,Brooklyn,2010,2
sunset park,Brooklyn,2011,8
sunset park,Brooklyn,2012,4
sunset park,Brooklyn,2013,2
sunset park,Brooklyn,2014,8
sunset park,Brooklyn,2015,4
sunset park,Brooklyn,2016,1
sunset park,Brooklyn,2017,3
sunset park,Brooklyn,2018,3
sunset park,Brooklyn,2020,2
sunset park,Brooklyn,2021,1
union square - lower east side,Manhattan,2010,25
union square - lower east side,Manhattan,2011,46
union square - lower east side,Manhattan,2012,37
union square - lower east side,Manhattan,2013,36
union square - lower east side,Manhattan,2014,51
union square - lower east side,Manhattan,2015,42
union square - lower east side,Manhattan,2016,77
union square - lower east side,Manhattan,2017,35
union square - lower east side,Manhattan,2018,35
union square - lower east side,Manhattan,2019,28
union square - lower east side,Manhattan,2020,20
union square - lower east side,Manhattan,2021,8
upper east side,Manhattan,2010,10
upper east side,Manhattan,2011,12
upper east side,Manhattan,2012,37
upper east side,Manhattan,2013,25
upper east side,Manhattan,2014,21
upper east side,Manhattan,2015,42
upper east side,Manhattan,2016,30
upper east side,Manhattan,2017,34
upper east side,Manhattan,2018,22
upper east side,Manhattan,2019,18
upper east side,Manhattan,2020,24
upper east side,Manhattan,2021,7
upper west side,Manhattan,2010,14
upper west side,Manhattan,2011,37
upper west side,Manhattan,2012,50
upper west side,Manhattan,2013,34
upper west side,Manhattan,2014,47
upper west side,Manhattan,2015,35
upper west side,Manhattan,2016,49
upper west side,Manhattan,2017,46
upper west side,Manhattan,2018,39
upper west side,Manhattan,2019,54
upper west side,Manhattan,2020,40
upper west side,Manhattan,2021,13
washington heights,Manhattan,2010,20
washington heights,Manhattan,2011,24
washington heights,Manhattan,2012,27
washington heights,Manhattan,2013,22
washington heights,Manhattan,2014,25
washington heights,Manhattan,2015,36
washington heights,Manhattan,2016,33
washington heights,Manhattan,2017,43
washington heights,Manhattan,2018,44
washington heights,Manhattan,2019,37
washington heights,Manhattan,2020,15
washington heights,Manhattan,2021,5
west queens,Queens,2010,4
west queens,Queens,2011,5
west queens,Queens,2012,7
west queens,Queens,2013,5
west queens,Queens,2014,10
west queens,Queens,2015,11
west queens,Queens,2016,10
west queens,Queens,2017,8
west queens,Queens,2018,10
west queens,Queens,2019,6
west queens,Queens,2020,9
west queens,Queens,2021,1
williamsburg - bushwick,Brooklyn,2010,8
williamsburg - bushwick,Brooklyn,2011,22
williamsburg - bushwick,Brooklyn,2012,27
williamsburg - bushwick,Brooklyn,2013,32
williamsburg - bushwick,Brooklyn,2014,22
williamsburg - bushwick,Brooklyn,2015,38
williamsburg - bushwick,Brooklyn,2016,30
williamsburg - bushwick,Brooklyn,2017,24
williamsburg - bushwick,Brooklyn,2018,19
williamsburg - bushwick,Brooklyn,2019,23
williamsburg - bushwick,Brooklyn,2020,28
williamsburg - bushwick,Brooklyn,2021,7
willowbrook,Staten Island,2010,1
willowbrook,Staten Island,2012,1
willowbrook,Staten Island,2014,1
willowbrook,Staten Island,2016,4
willowbrook,Staten Island,2017,1
willowbrook,Staten Island,2019,2
willowbrook,Staten Island,2020,3
willowbrook,Staten Island,2021,1
