UHF_42,Incident_Address_Borough,Date_Received,sewageO_count
bayside - littleneck,Queens,2017,4
bayside - littleneck,Queens,2018,3
bayside - littleneck,Queens,2019,6
bayside - littleneck,Queens,2020,3
bedford stuyvesant - crown heights,Brooklyn,2017,55
bedford stuyvesant - crown heights,Brooklyn,2018,75
bedford stuyvesant - crown heights,Brooklyn,2019,85
bedford stuyvesant - crown heights,Brooklyn,2020,54
bedford stuyvesant - crown heights,Brooklyn,2021,17
bensonhurst - bay ridge,Brooklyn,2017,18
bensonhurst - bay ridge,Brooklyn,2018,16
bensonhurst - bay ridge,Brooklyn,2019,14
bensonhurst - bay ridge,Brooklyn,2020,7
bensonhurst - bay ridge,Brooklyn,2021,4
borough park,Brooklyn,2017,18
borough park,Brooklyn,2018,20
borough park,Brooklyn,2019,31
borough park,Brooklyn,2020,12
borough park,Brooklyn,2021,19
canarsie - flatlands,Brooklyn,2017,15
canarsie - flatlands,Brooklyn,2018,19
canarsie - flatlands,Brooklyn,2019,20
canarsie - flatlands,Brooklyn,2020,18
canarsie - flatlands,Brooklyn,2021,10
central harlem - morningside heights,Manhattan,2017,21
central harlem - morningside heights,Manhattan,2018,41
central harlem - morningside heights,Manhattan,2019,23
central harlem - morningside heights,Manhattan,2020,21
central harlem - morningside heights,Manhattan,2021,15
chelsea - clinton,Manhattan,2017,14
chelsea - clinton,Manhattan,2018,29
chelsea - clinton,Manhattan,2019,24
chelsea - clinton,Manhattan,2020,8
chelsea - clinton,Manhattan,2021,8
coney island - sheepshead bay,Brooklyn,2017,24
coney island - sheepshead bay,Brooklyn,2018,23
coney island - sheepshead bay,Brooklyn,2019,24
coney island - sheepshead bay,Brooklyn,2020,21
coney island - sheepshead bay,Brooklyn,2021,6
crotona -tremont,Bronx,2017,24
crotona -tremont,Bronx,2018,25
crotona -tremont,Bronx,2019,21
crotona -tremont,Bronx,2020,18
crotona -tremont,Bronx,2021,6
downtown - heights - slope,Brooklyn,2017,23
downtown - heights - slope,Brooklyn,2018,22
downtown - heights - slope,Brooklyn,2019,34
downtown - heights - slope,Brooklyn,2020,35
downtown - heights - slope,Brooklyn,2021,11
east flatbush - flatbush,Brooklyn,2017,46
east flatbush - flatbush,Brooklyn,2018,53
east flatbush - flatbush,Brooklyn,2019,44
east flatbush - flatbush,Brooklyn,2020,50
east flatbush - flatbush,Brooklyn,2021,37
east harlem,Manhattan,2017,13
east harlem,Manhattan,2018,16
east harlem,Manhattan,2019,27
east harlem,Manhattan,2020,17
east harlem,Manhattan,2021,10
east new york,Brooklyn,2017,35
east new york,Brooklyn,2018,43
east new york,Brooklyn,2019,39
east new york,Brooklyn,2020,16
east new york,Brooklyn,2021,12
flushing - clearview,Queens,2017,1
flushing - clearview,Queens,2018,8
flushing - clearview,Queens,2019,7
flushing - clearview,Queens,2020,15
flushing - clearview,Queens,2021,3
fordham - bronx pk,Bronx,2017,30
fordham - bronx pk,Bronx,2018,29
fordham - bronx pk,Bronx,2019,42
fordham - bronx pk,Bronx,2020,28
fordham - bronx pk,Bronx,2021,12
fresh meadows,Queens,2017,8
fresh meadows,Queens,2018,9
fresh meadows,Queens,2019,7
fresh meadows,Queens,2020,4
gramercy park - murray hill,Manhattan,2017,10
gramercy park - murray hill,Manhattan,2018,6
gramercy park - murray hill,Manhattan,2019,9
gramercy park - murray hill,Manhattan,2020,12
gramercy park - murray hill,Manhattan,2021,6
greenpoint,Brooklyn,2017,1
greenpoint,Brooklyn,2018,9
greenpoint,Brooklyn,2019,16
greenpoint,Brooklyn,2020,10
greenpoint,Brooklyn,2021,9
greenwich village - soho,Manhattan,2017,3
greenwich village - soho,Manhattan,2018,7
greenwich village - soho,Manhattan,2019,20
greenwich village - soho,Manhattan,2020,3
greenwich village - soho,Manhattan,2021,1
high bridge - morrisania,Bronx,2017,29
high bridge - morrisania,Bronx,2018,21
high bridge - morrisania,Bronx,2019,29
high bridge - morrisania,Bronx,2020,21
high bridge - morrisania,Bronx,2021,9
hunts point - mott haven,Bronx,2017,16
hunts point - mott haven,Bronx,2018,17
hunts point - mott haven,Bronx,2019,15
hunts point - mott haven,Bronx,2020,16
hunts point - mott haven,Bronx,2021,5
jamaica,Queens,2017,31
jamaica,Queens,2018,35
jamaica,Queens,2019,36
jamaica,Queens,2020,33
jamaica,Queens,2021,12
kingsbridge - riverdale,Bronx,2017,8
kingsbridge - riverdale,Bronx,2018,16
kingsbridge - riverdale,Bronx,2019,8
kingsbridge - riverdale,Bronx,2020,7
kingsbridge - riverdale,Bronx,2021,4
long island city - astoria,Queens,2017,16
long island city - astoria,Queens,2018,21
long island city - astoria,Queens,2019,16
long island city - astoria,Queens,2020,15
long island city - astoria,Queens,2021,6
lower east side,Manhattan,2017,10
lower east side,Manhattan,2018,6
lower east side,Manhattan,2019,15
lower east side,Manhattan,2020,6
lower east side,Manhattan,2021,3
lower manhattan,Manhattan,2017,3
lower manhattan,Manhattan,2018,5
lower manhattan,Manhattan,2019,5
lower manhattan,Manhattan,2020,4
lower manhattan,Manhattan,2021,3
northeast bronx,Bronx,2017,21
northeast bronx,Bronx,2018,28
northeast bronx,Bronx,2019,21
northeast bronx,Bronx,2020,26
northeast bronx,Bronx,2021,4
pelham - throgs neck,Bronx,2017,19
pelham - throgs neck,Bronx,2018,29
pelham - throgs neck,Bronx,2019,37
pelham - throgs neck,Bronx,2020,17
pelham - throgs neck,Bronx,2021,12
port richmond,Staten Island,2017,8
port richmond,Staten Island,2018,2
port richmond,Staten Island,2019,12
port richmond,Staten Island,2020,10
port richmond,Staten Island,2021,2
ridgewood -forest hills,Queens,2017,13
ridgewood -forest hills,Queens,2018,11
ridgewood -forest hills,Queens,2019,14
ridgewood -forest hills,Queens,2020,18
ridgewood -forest hills,Queens,2021,9
rockaway,Queens,2017,10
rockaway,Queens,2018,13
rockaway,Queens,2019,11
rockaway,Queens,2020,9
rockaway,Queens,2021,5
south beach - tottenville,Staten Island,2017,9
south beach - tottenville,Staten Island,2018,15
south beach - tottenville,Staten Island,2019,12
south beach - tottenville,Staten Island,2020,10
south beach - tottenville,Staten Island,2021,6
southeast queens,Queens,2017,16
southeast queens,Queens,2018,15
southeast queens,Queens,2019,18
southeast queens,Queens,2020,12
southeast queens,Queens,2021,6
southwest queens,Queens,2017,15
southwest queens,Queens,2018,21
southwest queens,Queens,2019,30
southwest queens,Queens,2020,14
southwest queens,Queens,2021,8
stapleton - st. george,Staten Island,2017,20
stapleton - st. george,Staten Island,2018,19
stapleton - st. george,Staten Island,2019,15
stapleton - st. george,Staten Island,2020,17
stapleton - st. george,Staten Island,2021,7
sunset park,Brooklyn,2017,6
sunset park,Brooklyn,2018,15
sunset park,Brooklyn,2019,6
sunset park,Brooklyn,2020,5
sunset park,Brooklyn,2021,2
union square - lower east side,Manhattan,2017,14
union square - lower east side,Manhattan,2018,13
union square - lower east side,Manhattan,2019,13
union square - lower east side,Manhattan,2020,8
union square - lower east side,Manhattan,2021,5
upper east side,Manhattan,2017,11
upper east side,Manhattan,2018,7
upper east side,Manhattan,2019,5
upper east side,Manhattan,2020,11
upper east side,Manhattan,2021,1
upper west side,Manhattan,2017,10
upper west side,Manhattan,2018,25
upper west side,Manhattan,2019,16
upper west side,Manhattan,2020,8
upper west side,Manhattan,2021,8
washington heights,Manhattan,2017,17
washington heights,Manhattan,2018,39
washington heights,Manhattan,2019,29
washington heights,Manhattan,2020,22
washington heights,Manhattan,2021,16
west queens,Queens,2017,21
west queens,Queens,2018,35
west queens,Queens,2019,19
west queens,Queens,2020,24
west queens,Queens,2021,10
williamsburg - bushwick,Brooklyn,2017,30
williamsburg - bushwick,Brooklyn,2018,34
williamsburg - bushwick,Brooklyn,2019,42
williamsburg - bushwick,Brooklyn,2020,33
williamsburg - bushwick,Brooklyn,2021,18
willowbrook,Staten Island,2017,5
willowbrook,Staten Island,2018,26
willowbrook,Staten Island,2019,6
willowbrook,Staten Island,2020,9
